carries,mean_solving_time
0,2.5571
1,8.0487
2,10.384400000000001
3,4.765000000000001
0,14.778375
1,9.214200000000002
2,18.36677777777778
3,7.260399999999999
0,3.057
1,3.560333333333334
2,4.0225
3,4.5489999999999995
0,7.2717777777777775
1,4.2921000000000005
2,8.6916
3,6.424555555555555
0,4.8723
1,8.758500000000002
2,5.047666666666666
3,3.2689
0,15.993250000000002
1,5.9571
2,16.489
3,5.910500000000001
0,2.9507
1,4.0917
2,4.125100000000001
3,2.4110000000000005
0,13.4733
1,15.4881
2,13.314800000000005
3,10.7595
0,2.6787
1,4.789
2,9.6786
3,4.0367999999999995
0,4.144555555555556
1,2.2736666666666667
2,5.702333333333332
3,2.8842000000000003
0,29.153399999999998
1,16.784799999999997
2,19.759777777777778
3,24.10377777777778
0,4.4764
1,6.269799999999999
2,4.4708
3,8.038
0,3.4520000000000004
1,3.3649999999999998
2,22.5953
3,5.614888888888888
0,10.0883
1,18.9123
2,9.8442
3,14.212199999999996
0,2.0613333333333332
1,5.345699999999999
2,4.0082
3,5.645499999999998
0,3.1856
1,4.7361
2,4.551499999999999
3,3.6378749999999997
0,16.939222222222224
1,15.927599999999998
2,11.871500000000003
3,11.2843
0,3.9981111111111116
1,4.157333333333334
2,6.2654000000000005
3,7.712899999999999
0,9.2491
1,7.9011111111111125
2,9.162500000000001
3,5.9076
0,4.768099999999999
1,4.652199999999999
2,4.8424000000000005
3,2.2006000000000006
0,3.1671
1,7.775500000000001
2,4.7769
3,2.8310999999999997
0,5.521555555555556
1,7.089699999999999
2,5.7182
3,7.962299999999999
0,13.466399999999998
1,5.898666666666666
2,9.466400000000002
3,5.0476
0,4.6109
1,4.160400000000001
2,6.956300000000001
3,9.1326
0,3.6971999999999996
1,8.097300000000002
2,4.993444444444445
3,3.1756
0,6.534571428571428
1,6.861399999999999
2,8.0905
3,10.8515
0,1.8277
1,6.913900000000001
2,3.5790999999999995
3,7.231
0,12.652399999999998
1,21.570500000000003
2,31.619833333333332
3,17.094500000000004
0,7.072799999999999
1,7.186800000000001
2,3.466999999999999
3,3.0819
0,5.4773000000000005
1,10.170300000000001
2,18.069300000000002
3,5.6424
