operator,mean_solving_time
add,10.718142857142857
add,6.786063829787235
add,5.837511111111111
add,5.0078
add,8.13664
add,9.770140000000001
add,8.736720930232561
add,10.947333333333333
add,4.727499999999999
add,8.819439999999998
add,10.04604347826087
add,9.400938775510204
add,7.821224489795917
add,5.670104166666666
add,10.327659999999998
add,8.7656
add,7.022622222222223
add,7.625571428571428
add,5.287520833333335
add,6.654224489795916
add,10.20216326530612
add,12.440954545454543
add,8.210040816326533
add,8.656085106382976
add,7.509957446808512
add,9.408775510204084
add,9.426959183673468
add,6.708612244897958
add,5.903874999999999
add,7.867285714285712
subtract,7.109289473684208
subtract,10.075300000000004
subtract,13.372157894736842
subtract,8.500846153846155
subtract,11.382538461538463
subtract,6.341189189189189
subtract,7.174081081081081
subtract,10.4552
subtract,9.580499999999999
subtract,16.284052631578948
subtract,16.18405
subtract,11.505564102564106
subtract,9.441236842105264
subtract,10.747649999999997
subtract,13.540805555555554
subtract,13.827161290322584
subtract,5.447942857142856
subtract,12.04605263157895
subtract,9.176277777777775
subtract,4.365486486486486
subtract,14.680153846153846
subtract,13.564849999999998
subtract,11.810243243243242
subtract,5.611315789473685
subtract,12.031184210526316
subtract,11.598230769230769
subtract,13.156135135135138
subtract,12.165350000000002
subtract,11.000299999999998
subtract,8.029974358974357
multiply,25.99027499999999
multiply,23.658749999999998
multiply,26.561025641025637
multiply,33.59363636363637
multiply,35.761568181818184
multiply,26.973514285714298
multiply,20.497527777777783
multiply,19.56710000000001
multiply,37.10385
multiply,27.152755555555565
multiply,19.357277777777785
multiply,27.93118421052631
multiply,31.879704545454555
multiply,27.23381395348838
multiply,29.131428571428565
multiply,36.77288095238096
multiply,21.709594594594595
multiply,50.00197297297298
multiply,24.793051282051277
multiply,23.775447368421055
multiply,37.98269047619048
multiply,27.685095238095247
multiply,29.662289473684215
multiply,20.831761904761905
multiply,23.78045454545454
multiply,17.100799999999996
multiply,20.06585714285714
multiply,40.27378947368421
multiply,37.66971428571429
multiply,35.20155813953488
multiply,26.67937777777778
multiply,19.14036585365854
multiply,16.63975609756098
divide,6.438799999999999
divide,12.115513513513514
divide,3.878166666666667
divide,6.660631578947367
divide,5.498102564102566
divide,10.829263157894735
divide,3.3946250000000004
divide,13.258925000000001
divide,5.295775000000001
divide,3.727756756756757
divide,22.477736842105266
divide,5.813749999999999
divide,9.457800000000002
divide,13.26425
divide,4.321692307692309
divide,4.048289473684211
divide,13.930435897435895
divide,5.610052631578947
divide,8.059025641025645
divide,4.115824999999999
divide,4.63765
divide,6.599897435897437
divide,8.535692307692306
divide,6.2150500000000015
divide,4.990820512820513
divide,7.514750000000004
divide,4.887925000000001
divide,20.307260869565216
divide,5.3428108108108106
divide,9.839825000000001
modulo,8.367153846153844
modulo,16.45735135135136
modulo,7.355648648648647
modulo,21.278410256410258
modulo,8.546162162162164
modulo,25.042718750000006
modulo,20.091129032258067
modulo,17.813297297297296
modulo,14.653825000000001
modulo,20.241538461538465
modulo,14.485210526315782
modulo,10.975549999999997
modulo,12.28651282051282
modulo,12.737512820512817
modulo,8.240947368421054
modulo,12.33856756756757
modulo,11.564499999999999
modulo,19.786842105263155
modulo,17.92445714285714
modulo,8.43148717948718
modulo,12.39905263157895
modulo,7.427948717948716
modulo,25.741619047619047
modulo,11.246057142857145
modulo,12.299861111111111
modulo,14.04452777777778
modulo,14.071368421052629
modulo,10.440789473684207
modulo,12.6879
modulo,36.73355172413794
